id,cost,code,usage,skills,link,api,apinote
AI Methodology Map.Code generation.Text.Codex,Freemium,No code,Online,Low,https://openai.com/blog/openai-codex,https://openai.com/product,
AI Methodology Map.Image generation,,,,,,,
AI Methodology Map.Image generation.Image,,,,,,,
AI Methodology Map.Image generation.Image.RUNWAY ML,Freemium,No code,Online,Low,https://runwayml.com/,https://apitracker.io/a/runwayml,
AI Methodology Map.Image generation.Image.Dream Studio,Freemium,No code,Online,Low,https://beta.dreamstudio.ai/,https://platform.stability.ai/docs/getting-started,
AI Methodology Map.Image generation.Text,,,,,,,
AI Methodology Map.Image generation.Text.RUNWAY ML,Freemium,No code,Online,Low,https://runwayml.com/,https://apitracker.io/a/runwayml,
AI Methodology Map.Image generation.Text.Dream Studio,Freemium,No code,Online,Low,https://beta.dreamstudio.ai/,https://platform.stability.ai/docs/getting-started,
AI Methodology Map.Image generation.Text.DALL-e,Freemium,No code,Online,Low,https://openai.com/research/dall-e,https://platform.openai.com/docs/api-reference/models/object,
AI Methodology Map.Image generation.Text.Stable Diffusion,Free,No code,Online,Low,https://stablediffusionweb.com/,https://stablediffusionapi.com/docs/,
AI Methodology Map.Image generation.Text.Playform ai,Freemium,No code,Online,Low,https://www.playform.io/,https://playform.gitbook.io/playform/faqs/general,FAQs
AI Methodology Map.Image generation.Text.Fotor,Free,No code,Online,Low,https://www.fotor.com/,https://github.com/theabbie/fotor,Unofficial
AI Methodology Map.Image generation.Text.Unstock ai,Free,No code,Online,Low,https://unstock.ai/,,Not available
AI Methodology Map.Image generation.Text.Craiyon,Freemium,No code,Online,Low,https://www.craiyon.com/,https://github.com/FireHead90544/craiyon.py,Unofficial
AI Methodology Map.Image generation.Text.Photosonic,Freemium,No code,Online,Low,https://writesonic.com/photosonic-ai-art-generator,https://writesonic.com/api,
AI Methodology Map.Image generation.Text.Artflow,Free,No code,Online,Low,https://app.artflow.ai/,https://app.artflow.ai/about#tos,
AI Methodology Map.Image generation.Text.Lexica,Premium,No code,Online,Low,https://lexica.art/,https://github.com/NotCookey/Lexica.art,Unofficial
AI Methodology Map.Image generation.Text.Bing,Freemium,No code,Online,Low,https://www.bing.com/create,,Not available
AI Methodology Map.Image generation.Text.BlueWillow,Freemium,No code,Online,Low,https://www.bluewillow.ai/,https://www.bluewillow.ai/terms-of-service,Terms of service
AI Methodology Map.Image generation.Text.Stability AI,Freemium,No code,Online,Low,https://platform.stability.ai/sandbox/text-to-image,https://platform.stability.ai/docs/getting-started,
AI Methodology Map.Image generation.Text.Facet AI,Freemium,No code,Online,Low,https://www.facet.ai/,,Not available
AI Methodology Map.Image generation.Text.Dream Up,Freemium,No code,Online,Low,https://dreamup.com/,,Not available
AI Methodology Map.Image generation.Text.Deep AI,Freemium,No code,Online,Low,https://deepai.org/machine-learning-model/text2img,https://deepai.org/machine-learning-model/text2img,API reference
AI Methodology Map.Image generation.Text.Dream,Freemium,No code,Online,Low,https://dream.ai/,https://www.w.ai/dream-api,
AI Methodology Map.Image generation.Text.ComfyUI,Free,Code,Online,Medium,https://github.com/comfyanonymous/ComfyUI,https://comfyanonymous.github.io/ComfyUI_examples/
AI Methodology Map.Text generation,,,,,,,
AI Methodology Map.Text generation.Text,,,,,,,
AI Methodology Map.Text generation.Text.Bing,Freemium,No code,Online,Low,https://www.bing.com/search?form=MY0291&OCID=MY0291&q=Bing+AI&showconv=1,,Not available
AI Methodology Map.Text generation.Text.ChatGPT,Freemium,No code,Online,Low,https://chat.openai.com/,https://platform.openai.com/docs/introduction,
AI Methodology Map.Text generation.Text.Hugging Chat,Freemium,No code,Online,Low,https://huggingface.co/,https://github.com/Soulter/hugging-chat-api,Unnoficial
AI Methodology Map.Text generation.Text.Chat Sonic,Freemium,No code,Online,Low,https://app.writesonic.com/,https://writesonic.com/api,
AI Methodology Map.Text generation.Text.Jasper ai,Freemium,No code,Online,Low,https://www.jasper.ai/,https://www.jasper.ai/api,
AI Methodology Map.Text generation.Text.Gemini,Freemium,No code,Online,Low,https://gemini.google.com/app,https://ai.google.dev/?gad_source=1&gclid=Cj0KCQjwlN6wBhCcARIsAKZvD5gp_4aiBnvT0IDA75yWfyxp3lSrq3mwfqIpwl3ln1Ca9Y4u-s3N_5AaArygEALw_wcB,
AI Methodology Map.Text generation.Text.Copy.ai,Freemium,No code,Online,Low,https://app.copy.ai/,https://learn.copy.ai/articles/api-integration,
AI Methodology Map.Text generation.Text.Copilot,Freemium,No code,Online,Low,https://copilot.microsoft.com/,https://www.microsoft.com/en-us/microsoft-365/blog/2023/05/09/introducing-the-microsoft-365-copilot-early-access-program-and-new-capabilities-in-copilot/,
AI Methodology Map.Text generation.Text.Semrush,Freemium,No code,Online,Low,https://writio.com/?utm_term=semrush%20content%20writing&utm_campaign=Writio1&utm_source=adwords&utm_medium=ppc&hsa_acc=3527166132&hsa_cam=21169303439&hsa_grp=161138571095&hsa_ad=695995494900&hsa_src=g&hsa_tgt=kwd-826786304331&hsa_kw=semrush%20content%20writing&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gad_source=1&gclid=Cj0KCQjwlN6wBhCcARIsAKZvD5gQTd2WCIlOsrqtZ2Y5iUlev_Lbq1scaKklUi-V6LB4NRGMdkuQs5QaAsuREALw_wcB,https://developer.semrush.com/api/,
AI Methodology Map.Text generation.Text.Deep AI,Freemium,No code,Online,Low,https://deepai.org/chat,https://deepai.org/docs,
AI Methodology Map.Text generation.Text.Scite AI,Freemium,No code,Online,Low,https://scite.ai/,https://scite.ai/apiterms,
AI Methodology Map.Text generation.Text.Phind,Freemium,No code,Online,Low,https://www.phind.com/,https://github.com/defineprogramming/phindapidocs,
AI Methodology Map.Text generation.Text.Llama 3,Free,Code,Online or Offline,Medium,https://llama.meta.com/llama-downloads/,https://huggingface.co/meta-llama/Meta-Llama-3-70B,
AI Methodology Map.Video generation,,,,,,,
AI Methodology Map.Video generation.Audio,,,,,,,
AI Methodology Map.Video generation.Audio.WZRD ai,Free,No code,Online,Low,https://wzrd.ai/,,Not available
AI Methodology Map.Video generation.Audio.Visla,Free,No Code,Online,Low,https://www.visla.us/,,Not available
AI Methodology Map.Video generation.Text,,,,,,,
AI Methodology Map.Video generation.Text.Artflow,Freemium,No code,Online,Low,https://app.artflow.ai/,https://app.artflow.ai/about#tos,
AI Methodology Map.Video generation.Text.Synthesia,Free,No code,Online,Low,https://www.synthesia.io/,https://docs.synthesia.io/docs,
AI Methodology Map.Video generation.Text.Fliki,Free,No code,Online,Low,https://fliki.ai/,https://fliki.ai/resources/api,Not available
AI Methodology Map.Video generation.Text.Pictory,Freemium,No code,Online,Low,https://pictory.ai/,https://pictory.ai/api,
AI Methodology Map.Video generation.Text.Glia,Freemium,No code,Online,Low,https://www.gliacloud.com/en/,,Not available
AI Methodology Map.Video generation.Text.Elai,Free,No code,Online,Low,https://elai.io/,https://elai.readme.io/reference/getting-started-with-your-api,
AI Methodology Map.Video generation.Text.Visla,Free,No Code,Online,Low,https://www.visla.us/,,Not available
AI Methodology Map.Video generation.Text.ModelScope Text to Video Synthesis,Free,Code,Online or Offline,Medium,https://huggingface.co/spaces/ali-vilab/modelscope-text-to-video-synthesis,https://huggingface.co/ali-vilab/modelscope-damo-text-to-video-synthesis,
AI Methodology Map.Video generation.Text.Open-Sora,Free,Code,Online or Offline,High,https://huggingface.co/spaces/kadirnar/Open-Sora,https://github.com/hpcaitech/Open-Sora,
AI Methodology Map.Video generation.Text.Text2Video-Zero,Free,Code,Online or Offline,Medium,https://huggingface.co/spaces/PAIR/Text2Video-Zero,https://github.com/Picsart-AI-Research/Text2Video-Zero,
AI Methodology Map.Video generation.Text.Pika,Freemium,No code,Online,Low,https://pika.art/,,
AI Methodology Map.Video generation.Text.HeyGen,Freemium,No code,Online,Low,https://www.heygen.com/,https://docs.heygen.com/docs/quick-start,
AI Methodology Map.Video generation.Text.Deep AI,Freemium,No code,Online,Low,https://deepai.org/video,https://deepai.org/docs,
AI Methodology Map.Video generation.Text.Colossyan,Freemium,No code,Online,Low,https://www.colossyan.com/?via=aitoolsone,https://docs.colossyan.com/,
AI Methodology Map.Video generation.Text.Hour One,Freemium,No code,Online,Low,https://hourone.ai/use-cases/it-training/,https://hourone.ai/studio-api/,
AI Methodology Map.Video generation.Text.Deep Brain AI,Freemium,No code,Online,Low,https://easywithai.com/tools/deepbrainai,https://docs.deepbrain.io/aistudios/getting-started,
AI Methodology Map.Video generation.Text.InVideo,Freemium,No code,Online,Low,https://invideo.io/?irclickid=SU1VeTS3NxyNW6%3AW9YQVXTIlUkFxW40%3ArymmyU0&mpid=2459529&irgwc=1,,
AI Methodology Map.Video generation.Image,,,,,,,
AI Methodology Map.Video generation.Image.RUNWAY ML,Freemium,No code,Online,Low,https://runwayml.com/,https://apitracker.io/a/runwayml,
AI Methodology Map.Video generation.Image.Stable Video Diffusion,Free,Code,Online or Offline,Medium,https://huggingface.co/spaces/multimodalart/stable-video-diffusion,https://github.com/Stability-AI/generative-models,
AI Methodology Map.Video generation.Image.Deep AI,Freemium,No code,Online,Low,https://deepai.org/video,https://deepai.org/docs,
AI Methodology Map.Website generation,,,,,,,
AI Methodology Map.Website generation.Instructions,,,,,,,
AI Methodology Map.Website generation.Instructions.Durable,Freemium,No code,Online,Low,https://durable.co/,https://durable.co/terms-of-service,Terms of service
AI Methodology Map.Website generation.Text,,,,,,,
AI Methodology Map.Website generation.Text.Batternut AI,Premium,No code,Online,Low,https://butternut.ai/,https://butternut.ai/terms-of-use,Terms of use
